id_campaign,tanggal,nama_campaign,view_konten,ctr,hook,cta,Value,cpc,add_to_cart,cpr,purchase,revenue,roas,profit,covertion_rate,platform
1009,2025-02-09,meta5,49984,4.94,17.9,26,29,54678,1000,1098234,2187,28869984,26.29,27771750,4.38,META
3010,2025-05-26,shopee5,66318,2.54,25,31,34,34980,3316,1043789,2449,32321520,30.97,31277731,3.69,SHOPEE
2030,2025-01-29,shopee2,41397,1.06,16.34,25,28,64789,828,1104500,2592,34208592,30.97,33104092,6.26,SHOPEE
1010,2025-02-08,meta4,10268,2.98,11.9,22,25,55765,205,1223456,2231,29443920,24.07,28220464,21.73,META
3006,2025-01-22,tiktok4,69148,1.23,27,33,36,47665,3457,1036781,3337,44042460,42.48,43005679,4.83,TIKTOK
1098,2025-11-17,tiktok75,185078,1.86,52,49,52,22378,12955,995198,2014,26585064,26.71,25589866,1.09,TIKTOK
1098,2025-11-17,tiktok75,185078,1.86,52,49,52,22378,12955,995198,2014,28838964,28.98,27843766,1.09,TIKTOK
2029,2025-08-25,tiktok15,120121,3.2,39.99,40,43,22457,6006,1012345,2021,26678916,26.35,25666571,1.68,TIKTOK
1010,2025-02-08,meta4,10268,2.98,11.9,22,25,55765,205,1223456,2231,38689596,31.62,37466140,21.73,META
2001,2025-01-08,meta2,88498,4.34,29.8,34,37,43789,4425,1035777,3065,40461036,39.06,39425259,3.46,META
3017,2025-06-11,tiktok12,107081,3.2,37.89,38,41,44354,5354,1024325,3105,40983096,40.01,39958771,2.9,TIKTOK
3076,2025-11-09,meta33,499863,2.81,88.23,78,81,15551,39989,834432,3599,47506979,56.93,46672547,0.72,META
2011,2025-06-04,meta10,395070,1.47,72,69,72,21098,43458,876987,3477,45891332,52.33,45014345,0.88,META
2007,2025-02-15,tiktok7,184323,4.33,51,48,51,45123,12903,996514,4061,53606124,53.79,52609610,2.2,TIKTOK
2020,2025-06-10,meta11,158381,1.29,50,47,50,21435,11087,1002114,1929,25464780,25.41,24462666,1.22,META
1015,2025-04-11,tiktok9,111687,3.51,38.98,39,42,46754,5584,1017890,4208,55543752,54.57,54525862,3.77,TIKTOK
1067,2025-11-26,shopee11,107081,0.98,36.87,37,40,43234,5354,1027654,3026,39948216,38.87,38920562,2.83,SHOPEE
2035,2025-09-07,meta22,202163,2.59,55,52,55,34456,14151,989324,3101,40933728,41.38,39944404,1.53,META
1054,2025-11-10,meta19,220963,2.61,58,55,58,21234,15467,927854,1237,16333584,17.6,15405730,0.56,META
3009,2025-03-26,meta7,219126,0.64,57,54,57,23125,15339,957930,1227,16197793,16.91,15239863,0.56,META
1010,2025-12-11,meta75,143483,4.47,47,44,47,32567,10044,1004678,2931,29443920,29.31,28439242,2.04,META
3012,2025-06-29,tiktok13,52663,0.3,19.99,28,31,20987,1053,1325679,1839,11081136,8.36,9755457,3.49,TIKTOK
2032,2025-10-10,tiktok24,296972,4.65,62,59,62,16790,26727,905896,2138,28224218,31.16,27318322,0.72,TIKTOK
1010,2025-12-11,meta75,143483,4.47,47,44,47,32567,10044,1004678,2931,38689596,38.51,37684918,2.04,META
3008,2025-01-27,shopee1,466625,2.3,76.89,74,77,21098,51329,587060,10779,142283295,242.37,141696235,2.31,SHOPEE
1031,2025-05-23,tiktok11,62087,2.64,21.24,30,33,45667,3104,1044776,3197,42196308,40.39,41151532,5.15,TIKTOK
1039,2025-09-18,tiktok20,206362,4.47,56,53,56,34645,14445,971132,3118,41158260,42.38,40187128,1.51,TIKTOK
2099,2025-11-22,tiktok67,395070,3,71,68,71,24097,43458,889006,3477,45891331,51.62,45002325,0.88,TIKTOK
1099,2025-11-12,meta23,485299,4.44,79.98,76,79,13451,38824,789054,3494,46122816,58.45,45333762,0.72,META
3033,2025-05-04,meta8,443296,0.62,74,71,74,18907,48763,857221,3901,51493263,60.07,50636042,0.88,META
2021,2025-07-01,meta12,143483,3.26,48,45,48,67411,10044,1003284,6067,80084268,79.82,79080984,4.23,META
1030,2025-08-07,meta14,284076,4.51,61,58,61,23654,25567,918365,2045,26998583,29.4,26080218,0.72,META
1098,2025-11-14,tiktok55,94848,0.86,30.81,35,38,31211,4742,1033009,2185,28838964,27.92,27805955,2.3,TIKTOK
1005,2025-01-20,tiktok3,257840,0.42,59,56,59,32143,23206,921984,1856,24505113,26.58,23583129,0.72,TIKTOK
1010,2025-02-08,meta4,10268,2.98,11.9,22,25,55765,205,1223456,2231,28763665,23.51,27540209,21.73,META
1098,2025-11-14,tiktok55,94848,0.86,30.81,35,38,31211,4742,1033009,2185,26585064,25.74,25552055,2.3,TIKTOK
3033,2025-10-22,shopee9,417309,3.51,73,70,73,19786,45904,589076,3672,51493263,87.41,50904187,0.88,SHOPEE
1001,2025-01-05,meta1,132932,2.3,40.2,41,44,21098,6647,1011234,1899,25064424,24.79,24053190,1.43,META
1056,2025-09-04,meta21,354556,0.98,69,66,69,24098,31910,898076,2553,33697002,37.52,32798926,0.72,META
3018,2025-08-22,tiktok14,185423,3,53,50,53,23143,12980,993580,2083,27493884,27.67,26500304,1.12,TIKTOK
3077,2025-11-28,shopee21,52663,2.59,18.89,27,30,67845,1053,1089099,2714,35822160,32.89,34733061,5.15,SHOPEE
1101,2025-12-17,meta81,300648,4.33,64,61,64,27890,27058,905198,2165,28573585,31.57,27668387,0.72,META
2004,2025-02-22,shopee3,473791,3.36,77.91,75,78,22345,52117,576034,10945,144468351,250.8,143892317,2.31,SHOPEE
3033,2025-10-22,shopee9,417309,3.51,73,70,73,19786,45904,589076,3672,48474613,82.29,47885537,0.88,SHOPEE
1029,2025-08-09,meta15,54990,4.45,20.08,29,32,34587,1100,1076450,2421,31958388,29.69,30881938,4.4,META
3100,2025-12-25,shopee44,284076,4.65,60,57,60,23123,25567,920076,2045,26998583,29.34,26078507,0.72,SHOPEE
1020,2025-04-19,shopee4,450036,0.48,75,72,75,27890,49504,832564,3960,52276181,62.79,51443617,0.88,SHOPEE
2012,2025-05-21,tiktok10,22959,2.72,15.43,24,27,89076,459,1224999,3563,47032128,38.39,45807129,15.52,TIKTOK
2006,2025-01-15,tiktok2,66725,0.54,26,32,35,56799,3336,1041532,3976,52482276,50.39,51440744,5.96,TIKTOK
1077,2025-11-25,tiktok98,158381,3.2,49,46,49,45112,11087,1002456,4060,53593056,53.46,52590600,2.56,TIKTOK
1010,2025-12-11,meta75,143483,4.47,47,44,47,32567,10044,1004678,2931,28763665,28.63,27758987,2.04,META
2100,2025-12-21,tiktok303,309987,0.97,67,64,67,19087,27899,902445,2232,29461164,32.65,28558719,0.72,TIKTOK
2010,2025-05-14,meta9,19047,4.06,13.89,23,26,65346,381,1256987,2614,34502688,27.45,33245701,13.72,META
1010,2025-02-14,tiktok6,302648,3.59,66,63,66,21097,27238,903678,2179,29443920,32.58,28540242,0.72,TIKTOK
1003,2025-01-24,tiktok5,486283,0.99,80.32,77,80,16781,38903,821567,3501,46216336,56.25,45394769,0.72,TIKTOK
1010,2025-02-14,tiktok6,302648,3.59,66,63,66,21097,27238,903678,2179,28763665,31.83,27859987,0.72,TIKTOK
2009,2025-01-13,tiktok1,466148,2.22,76.66,73,76,26009,51276,589113,10768,142137848,241.27,141548735,2.31,TIKTOK
1026,2025-07-25,shopee6,309987,0.96,68,65,68,24578,27899,902145,2232,29461164,32.66,28559019,0.72,SHOPEE
2065,2025-10-17,tiktok25,142564,1.99,46,43,46,13252,7128,1006543,1193,15743376,15.64,14736833,0.84,TIKTOK
1042,2025-10-08,tiktok23,106983,0.97,32.89,36,39,37654,5349,1029081,2636,34792296,33.81,33763215,2.46,TIKTOK
1022,2025-07-06,meta13,300648,3.41,65,62,65,25678,27058,904187,2165,28573585,31.6,27669398,0.72,META
3098,2025-11-07,meta34,298921,1.35,63,60,63,38765,26903,905576,2152,28409451,31.37,27503875,0.72,META
1044,2025-10-03,meta24,370599,4.33,70,67,70,35091,40766,897653,3261,43048779,47.96,42151126,0.88,META
3033,2025-05-04,meta8,443296,0.62,74,71,74,18907,48763,857221,3901,48474613,56.55,47617392,0.88,META
1091,2025-03-15,meta6,140182,3.59,45,42,45,17890,7009,1007891,1610,21253320,21.09,20245429,1.15,META
1010,2025-02-14,tiktok6,302648,3.59,66,63,66,21097,27238,903678,2179,38689596,42.81,37785918,0.72,TIKTOK
1002,2025-01-09,meta3,195027,4.7,54,51,54,31241,13652,991009,2812,37114308,37.45,36123299,1.44,META
