kota_normal,produk,7,8,9,10,total
Aceh Barat,Yayle Exypnost 120 ml,103,60,50,55,268
Aceh Barat,Yayle Exypnost 200 ml,77,23,40,29,169
Aceh Barat Daya,Yayle Exypnost 120 ml,73,51,35,40,199
Aceh Barat Daya,Yayle Exypnost 200 ml,78,31,21,27,157
Aceh Besar,Yayle Exypnost 120 ml,99,61,41,50,251
Aceh Besar,Yayle Exypnost 200 ml,99,29,26,60,214
Aceh Jaya,Yayle Exypnost 120 ml,38,26,22,26,112
Aceh Jaya,Yayle Exypnost 200 ml,53,15,9,25,102
Aceh Selatan,Yayle Exypnost 120 ml,88,53,25,25,191
Aceh Selatan,Yayle Exypnost 200 ml,87,35,30,31,183
Aceh Singkil,Yayle Exypnost 120 ml,28,11,18,9,66
Aceh Singkil,Yayle Exypnost 200 ml,33,7,12,3,55
Aceh Tamiang,Yayle Exypnost 120 ml,68,54,26,20,168
Aceh Tamiang,Yayle Exypnost 200 ml,65,22,12,21,120
Aceh Tengah,Yayle Exypnost 120 ml,45,33,23,15,116
Aceh Tengah,Yayle Exypnost 200 ml,47,10,15,18,90
Aceh Tenggara,Yayle Exypnost 200 ml,44,19,10,12,85
Aceh Tenggara,Yayle Exypnost 120 ml,26,15,29,13,83
Aceh Timur,Yayle Exypnost 120 ml,152,93,69,86,400
Aceh Timur,Yayle Exypnost 200 ml,161,70,35,91,357
Aceh Utara,Yayle Exypnost 200 ml,278,116,94,131,619
Aceh Utara,Yayle Exypnost 120 ml,234,124,132,102,592
Agam,Yayle Exypnost 200 ml,95,58,34,41,228
Agam,Yayle Exypnost 120 ml,98,49,36,27,210
Alor,Yayle Exypnost 200 ml,8,0,0,2,10
Alor,Yayle Exypnost 120 ml,5,1,2,0,8
Ambon,Yayle Exypnost 200 ml,27,24,10,6,67
Ambon,Yayle Exypnost 120 ml,26,18,14,4,62
Asahan,Yayle Exypnost 120 ml,117,87,46,38,288
Asahan,Yayle Exypnost 200 ml,118,32,23,39,212
Badung,Yayle Exypnost 120 ml,188,118,94,63,463
Badung,Yayle Exypnost 200 ml,135,84,36,34,289
Balangan,Yayle Exypnost 120 ml,23,8,1,1,33
Balangan,Yayle Exypnost 200 ml,15,4,2,3,24
Balikpapan,Yayle Exypnost 200 ml,223,110,82,47,462
Balikpapan,Yayle Exypnost 120 ml,209,119,74,37,439
Banda Aceh,Yayle Exypnost 200 ml,258,139,56,71,524
Banda Aceh,Yayle Exypnost 120 ml,184,120,69,63,436
Bandar Lampung,Yayle Exypnost 120 ml,160,70,53,27,310
Bandar Lampung,Yayle Exypnost 200 ml,119,61,40,28,248
Bandung,Yayle Exypnost 120 ml,1011,469,321,274,2075
Bandung,Yayle Exypnost 200 ml,428,195,170,108,901
Bandung Barat,Yayle Exypnost 120 ml,509,236,153,122,1020
Bandung Barat,Yayle Exypnost 200 ml,216,102,60,57,435
Banggai,Yayle Exypnost 120 ml,55,42,26,12,135
Banggai,Yayle Exypnost 200 ml,46,16,19,7,88
Banggai Kepulauan,Yayle Exypnost 120 ml,14,9,6,8,37
Banggai Kepulauan,Yayle Exypnost 200 ml,7,4,1,2,14
Banggai Laut,Yayle Exypnost 120 ml,18,4,3,3,28
Banggai Laut,Yayle Exypnost 200 ml,6,3,4,1,14
Bangka,Yayle Exypnost 120 ml,79,35,26,29,169
Bangka,Yayle Exypnost 200 ml,56,17,21,9,103
Bangka Barat,Yayle Exypnost 120 ml,90,40,26,19,175
Bangka Barat,Yayle Exypnost 200 ml,77,16,14,8,115
Bangka Island,Yayle Exypnost 200 ml,0,2,0,0,2
Bangka Selatan,Yayle Exypnost 120 ml,87,43,37,15,182
Bangka Selatan,Yayle Exypnost 200 ml,84,18,17,13,132
Bangka Tengah,Yayle Exypnost 120 ml,53,22,21,15,111
Bangka Tengah,Yayle Exypnost 200 ml,36,15,5,7,63
Bangkalan,Yayle Exypnost 120 ml,283,117,63,73,536
Bangkalan,Yayle Exypnost 200 ml,161,61,60,31,313
Bangli,Yayle Exypnost 120 ml,22,10,10,4,46
Bangli,Yayle Exypnost 200 ml,6,6,3,6,21
Banjar,Yayle Exypnost 120 ml,99,48,26,17,190
Banjar,Yayle Exypnost 200 ml,104,24,20,20,168
Banjarbaru,Yayle Exypnost 120 ml,70,48,15,24,157
Banjarbaru,Yayle Exypnost 200 ml,64,37,16,10,127
Banjarmasin,Yayle Exypnost 120 ml,188,116,45,43,392
Banjarmasin,Yayle Exypnost 200 ml,151,78,36,37,302
Banjarnegara,Yayle Exypnost 120 ml,181,88,92,49,410
Banjarnegara,Yayle Exypnost 200 ml,63,41,45,41,190
Bantaeng,Yayle Exypnost 120 ml,16,8,7,5,36
Bantaeng,Yayle Exypnost 200 ml,21,4,2,1,28
Bantul,Yayle Exypnost 120 ml,182,84,80,130,476
Bantul,Yayle Exypnost 200 ml,88,53,45,57,243
Banyu Asin,Yayle Exypnost 120 ml,35,14,7,6,62
Banyu Asin,Yayle Exypnost 200 ml,30,6,6,6,48
Banyuasin,Yayle Exypnost 120 ml,112,76,50,41,279
Banyuasin,Yayle Exypnost 200 ml,128,36,31,32,227
Banyumas,Yayle Exypnost 120 ml,348,159,123,113,743
Banyumas,Yayle Exypnost 200 ml,165,88,55,66,374
Banyuwangi,Yayle Exypnost 120 ml,390,192,137,106,825
Banyuwangi,Yayle Exypnost 200 ml,198,84,78,54,414
Barito Kuala,Yayle Exypnost 200 ml,52,10,8,8,78
Barito Kuala,Yayle Exypnost 120 ml,25,20,13,6,64
Barito Selatan,Yayle Exypnost 120 ml,42,18,6,11,77
Barito Selatan,Yayle Exypnost 200 ml,22,9,9,9,49
Barito Timur,Yayle Exypnost 120 ml,32,16,11,6,65
Barito Timur,Yayle Exypnost 200 ml,26,14,11,11,62
Barito Utara,Yayle Exypnost 120 ml,32,20,19,12,83
Barito Utara,Yayle Exypnost 200 ml,52,9,7,6,74
Barru,Yayle Exypnost 200 ml,44,10,14,3,71
Barru,Yayle Exypnost 120 ml,24,20,12,3,59
Batam,Yayle Exypnost 200 ml,508,271,162,117,1058
Batam,Yayle Exypnost 120 ml,430,200,141,112,883
Batang,Yayle Exypnost 120 ml,212,105,88,60,465
Batang,Yayle Exypnost 200 ml,78,42,36,34,190
Batang Hari,Yayle Exypnost 120 ml,21,21,10,2,54
Batang Hari,Yayle Exypnost 200 ml,13,5,2,0,20
Batanghari,Yayle Exypnost 120 ml,55,23,20,25,123
Batanghari,Yayle Exypnost 200 ml,37,12,8,14,71
Batu,Yayle Exypnost 120 ml,19,10,13,3,45
Batu,Yayle Exypnost 200 ml,10,5,2,2,19
Batu Bara,Yayle Exypnost 120 ml,63,34,18,22,137
Batu Bara,Yayle Exypnost 200 ml,54,15,15,15,99
Bau Bau,Yayle Exypnost 120 ml,5,14,1,4,24
Bau Bau,Yayle Exypnost 200 ml,6,0,2,3,11
Baubau,Yayle Exypnost 200 ml,16,9,1,1,27
Baubau,Yayle Exypnost 120 ml,3,4,0,3,10
Bekasi,Yayle Exypnost 120 ml,1343,684,526,488,3041
Bekasi,Yayle Exypnost 200 ml,553,342,255,238,1388
Belitung,Yayle Exypnost 120 ml,58,34,11,22,125
Belitung,Yayle Exypnost 200 ml,27,7,12,5,51
Belitung Timur,Yayle Exypnost 120 ml,54,24,8,7,93
Belitung Timur,Yayle Exypnost 200 ml,53,7,10,4,74
Belu,Yayle Exypnost 200 ml,11,3,4,6,24
Belu,Yayle Exypnost 120 ml,6,8,5,2,21
Bener Meriah,Yayle Exypnost 120 ml,47,35,22,27,131
Bener Meriah,Yayle Exypnost 200 ml,47,31,21,19,118
