date,ads_name,cost,impressions,clicks,ctr,cpc,omset_ads,conversion
2025-01-01,Ads Campaign 38,187647,378023,2398,0.00634352936197,78.25145954962468,1061917,66
2025-01-01,Ads Campaign 31,416452,174115,707,0.0040605347040748,589.0410183875531,898755,41
2025-01-01,Ads Campaign 7,57772,67983,1603,0.0235794242678316,36.039925140361824,22771,10
2025-01-02,Ads Campaign 10,102279,137285,1211,0.0088210656663146,84.45829892650701,554397,17
2025-01-02,Ads Campaign 3,414145,423984,198,0.0004669987546699,2091.6414141414143,697106,16
2025-01-03,Ads Campaign 28,202170,35700,1482,0.0415126050420168,136.417004048583,119468,10
2025-01-03,Ads Campaign 41,482115,42235,3303,0.0782052799810583,145.96276112624886,407760,15
2025-01-03,Ads Campaign 12,360615,70504,2469,0.0350192896856915,146.05710814094775,367842,15
2025-01-03,Ads Campaign 3,414805,293107,1223,0.0041725376739552,339.170073589534,279366,11
2025-01-04,Ads Campaign 14,263166,352276,1801,0.0051124686325494,146.1221543586896,572293,30
2025-01-04,Ads Campaign 6,492779,218314,2604,0.0119277737570655,189.239247311828,559676,33
2025-01-05,Ads Campaign 14,394313,193003,1355,0.0070206162598508,291.0059040590406,155658,6
2025-01-05,Ads Campaign 30,337712,211747,1360,0.0064227592362583,248.31764705882352,898306,79
2025-01-05,Ads Campaign 47,358540,68766,1979,0.0287787569438385,181.1723092470945,126118,13
2025-01-06,Ads Campaign 4,33893,277175,1065,0.0038423378731848,31.824413145539907,381657,34
2025-01-06,Ads Campaign 21,164063,124728,1465,0.0117455583349368,111.98839590443686,225805,11
2025-01-06,Ads Campaign 33,219775,42830,4724,0.110296521130049,46.52307366638442,280822,11
2025-01-07,Ads Campaign 13,322523,26517,568,0.0214202209903081,567.8221830985915,545632,22
2025-01-07,Ads Campaign 9,199587,214456,807,0.0037630096616555,247.31970260223048,634028,15
2025-01-07,Ads Campaign 5,455477,440388,3573,0.0081133000899207,127.47746991323818,21425,14
2025-01-08,Ads Campaign 24,292660,60821,1684,0.0276878051988622,173.78859857482186,206961,12
2025-01-08,Ads Campaign 40,234892,53446,4324,0.0809040901096433,54.32284921369103,487048,29
2025-01-08,Ads Campaign 40,272388,419554,4332,0.0103252501465842,62.87811634349031,191744,14
2025-01-09,Ads Campaign 25,284155,416466,92,0.0002209063885167,3088.641304347826,9511,5
2025-01-09,Ads Campaign 43,130659,362309,1327,0.0036626194767449,98.4619442351168,34790,12
2025-01-09,Ads Campaign 13,20340,78694,2350,0.0298625054006658,8.65531914893617,1139787,43
2025-01-10,Ads Campaign 15,323136,274100,2962,0.0108062750820868,109.09385550303848,24441,10
2025-01-10,Ads Campaign 29,66607,63901,4584,0.071735966573293,14.530322862129143,453005,24
2025-01-10,Ads Campaign 15,258083,433829,129,0.0002973521825419,2000.6434108527133,647930,15
2025-01-11,Ads Campaign 6,187860,275336,364,0.0013220210942266,516.0989010989011,384471,29
2025-01-11,Ads Campaign 39,226821,337246,64,0.0001897724509705,3544.078125,505857,34
2025-01-11,Ads Campaign 46,97842,152014,1427,0.0093872932756193,68.56482130343377,326212,22
2025-01-12,Ads Campaign 27,102302,410046,483,0.0011779166239885,211.80538302277432,311432,21
2025-01-12,Ads Campaign 27,290160,384095,2941,0.0076569598666996,98.66031961917714,338782,21
