waktu_live,durasi_menit,omset,produk_terjual,penonton
2025-01-01 01:03:00,114,3620756,76,3200
2025-01-02 10:43:00,84,3711272,100,4715
2025-01-03 04:17:00,155,3939153,9,1008
2025-01-04 05:27:00,154,512731,31,3239
2025-01-04 12:53:00,35,4343356,105,997
2025-01-05 10:10:00,136,2708956,186,3134
2025-01-06 16:02:00,161,332643,174,2938
2025-01-06 11:01:00,169,4141688,10,1427
2025-01-06 09:24:00,48,4385245,179,1703
2025-01-07 03:00:00,176,939065,23,2874
2025-01-08 02:00:00,109,3382018,20,4911
2025-01-08 22:04:00,166,295780,143,332
2025-01-08 20:09:00,167,2651476,66,3250
2025-01-09 04:45:00,137,3686397,156,2474
2025-01-09 23:57:00,179,1283234,159,4424
2025-01-09 21:14:00,133,4359287,159,3900
2025-01-10 05:01:00,143,1270888,103,2949
2025-01-10 13:17:00,125,665353,174,4648
2025-01-10 10:33:00,174,2033376,168,1765
2025-01-11 04:12:00,63,1164943,50,3755
2025-01-11 18:11:00,61,1914039,191,3176
2025-01-12 20:59:00,175,455220,149,2696
2025-01-13 15:33:00,41,2470174,195,4605
2025-01-14 09:27:00,90,309196,185,347
2025-01-14 07:51:00,148,4677769,140,2136
2025-01-14 21:48:00,138,712622,125,4886
2025-01-15 00:26:00,94,2260347,112,872
2025-01-15 04:15:00,99,2991030,165,3214
2025-01-15 03:39:00,151,628866,80,3191
2025-01-16 01:58:00,53,3292050,36,1732
2025-01-16 06:51:00,173,2425701,6,4770
2025-01-17 15:24:00,93,2848653,182,2287
2025-01-17 18:39:00,31,3298637,117,2802
2025-01-18 05:41:00,115,1875272,31,2722
2025-01-18 06:08:00,99,2752571,106,2292
2025-01-18 09:47:00,170,2245252,126,1874
2025-01-19 03:37:00,158,2325674,157,1085
2025-01-19 04:32:00,99,3869050,132,1455
2025-01-20 06:58:00,155,2135777,185,2373
2025-01-20 21:19:00,48,4257196,55,912
2025-01-20 17:28:00,105,4680693,114,3427
2025-01-21 19:13:00,75,3834236,11,2602
2025-01-21 22:16:00,69,4418916,146,752
2025-01-22 23:24:00,154,311912,114,479
2025-01-22 05:47:00,41,1803674,32,2507
2025-01-23 23:46:00,95,3254378,36,3296
2025-01-24 08:14:00,50,788706,198,4371
2025-01-24 06:39:00,162,4356988,127,72
2025-01-24 12:01:00,85,1982511,103,1209
2025-01-25 08:55:00,116,376119,87,1155
2025-01-26 18:38:00,161,4580687,56,3314
2025-01-27 04:25:00,45,4223356,87,4842
2025-01-27 14:14:00,151,2012727,28,1217
2025-01-27 19:29:00,153,1222259,43,2856
2025-01-28 06:05:00,151,4538019,192,2076
2025-01-28 12:23:00,131,1936529,139,4855
2025-01-29 11:40:00,41,2443240,26,2266
2025-01-30 22:02:00,144,2644715,111,2693
2025-01-30 16:07:00,127,2593481,145,3833
2025-01-31 12:09:00,53,410750,4,2861
2025-01-31 07:15:00,138,1000328,175,151
2025-01-31 14:59:00,93,1397050,174,551
2025-02-01 07:52:00,72,1447710,86,3410
2025-02-02 03:10:00,102,747469,42,1378
2025-02-02 21:41:00,105,4274698,164,2154
2025-02-02 08:35:00,97,3589680,44,2541
2025-02-03 00:11:00,93,4834969,95,4289
2025-02-03 11:04:00,161,1076338,23,862
2025-02-03 23:29:00,167,935426,82,1307
2025-02-04 13:17:00,82,3219292,193,3043
2025-02-04 00:57:00,57,1884864,132,1524
2025-02-04 10:01:00,85,3198169,93,4365
2025-02-05 16:22:00,124,3288843,86,4523
2025-02-06 22:41:00,55,2938087,67,3760
2025-02-06 02:09:00,154,4171447,31,858
2025-02-07 02:00:00,153,2028997,98,484
2025-02-08 12:07:00,35,2495948,90,2902
2025-02-08 08:25:00,131,1839847,73,2030
2025-02-09 00:18:00,118,728344,82,2549
2025-02-09 17:37:00,90,2412904,183,937
2025-02-10 03:51:00,68,1498829,13,713
2025-02-11 01:51:00,114,1011408,47,1868
2025-02-11 14:45:00,92,4528807,37,4285
2025-02-11 15:22:00,87,702411,93,2082
2025-02-12 14:04:00,174,4909256,81,2657
2025-02-13 06:50:00,165,166521,104,664
2025-02-13 20:51:00,61,4646478,154,3145
2025-02-13 01:34:00,121,878777,174,4423
2025-02-14 12:31:00,132,2543579,26,4598
2025-02-15 20:26:00,139,3675625,119,4658
2025-02-15 14:47:00,93,1965441,156,4774
2025-02-15 02:50:00,45,3697656,27,795
2025-02-16 21:29:00,78,1306424,192,2697
2025-02-17 19:36:00,31,3723345,187,231
2025-02-17 04:31:00,107,3202635,68,4255
2025-02-18 09:42:00,69,1529188,122,244
2025-02-19 12:55:00,176,4076822,104,2727
2025-02-19 11:41:00,174,367428,139,4378
2025-02-20 05:48:00,44,3213441,169,3108
2025-02-20 06:41:00,53,1083738,71,4346
2025-02-21 02:31:00,80,3896216,91,2815
2025-02-21 20:57:00,59,338649,27,2195
2025-02-22 07:59:00,154,4337162,16,4463
2025-02-22 21:59:00,114,4801008,30,2859
2025-02-23 03:17:00,76,1603225,113,4625
2025-02-23 20:14:00,130,4262503,65,1881
2025-02-24 05:22:00,79,577118,118,2133
2025-02-24 09:31:00,174,2566484,20,3374
2025-02-25 07:52:00,35,1363076,162,29
2025-02-26 15:17:00,120,446894,189,4304
2025-02-26 02:38:00,97,3004615,7,2046
2025-02-27 02:17:00,120,4987439,53,4243
2025-02-27 09:30:00,120,1841836,36,4403
2025-02-28 11:40:00,150,294603,160,2857
2025-02-28 22:29:00,53,2506475,86,4539
