date,cost,omset,product_terjual,penonton,impressions,clicks,ctr,cpc
2025-01-01,143635.0,622929.0,34,5931,37711,230,0.61,624.5
2025-01-02,287679.0,705280.0,15,1202,10539,656,6.22,438.54
2025-01-03,232998.0,552754.0,59,12447,47405,1172,2.47,198.8
2025-01-04,199665.0,1277359.0,32,13688,7557,749,9.91,266.58
2025-01-05,89005.0,663779.0,29,5389,43360,1042,2.4,85.42
2025-01-06,88999.0,565215.0,43,3327,21482,1189,5.53,74.85
2025-01-07,64521.0,905505.0,37,9004,7200,240,3.33,268.84
2025-01-08,266544.0,383201.0,5,8777,7961,302,3.79,882.6
2025-01-09,200279.0,1242856.0,31,1197,26357,1030,3.91,194.45
2025-01-10,227018.0,296916.0,56,2930,16969,977,5.76,232.36
2025-01-11,55146.0,1482953.0,17,12774,7869,1234,15.68,44.69
2025-01-12,292477.0,1203918.0,45,16087,33643,1329,3.95,220.07
2025-01-13,258111.0,458330.0,7,10339,29736,1396,4.69,184.89
2025-01-14,103085.0,207179.0,43,12589,43467,177,0.41,582.4
2025-01-15,95456.0,1260100.0,10,19895,28328,67,0.24,1424.72
2025-01-16,95851.0,1118915.0,12,16708,30876,1866,6.04,51.37
2025-01-17,126061.0,1147709.0,31,18043,26295,1808,6.88,69.72
2025-01-18,181189.0,1202651.0,13,3811,8987,615,6.84,294.62
2025-01-19,157986.0,296258.0,41,15243,27399,619,2.26,255.23
2025-01-20,122807.0,666005.0,37,7546,38986,1396,3.58,87.97
2025-01-21,202963.0,350630.0,55,2986,25880,1945,7.52,104.35
2025-01-22,84873.0,1322034.0,46,9338,9735,735,7.55,115.47
2025-01-23,123036.0,1010288.0,48,12411,49064,1865,3.8,65.97
2025-01-24,141590.0,630167.0,28,3911,9555,675,7.06,209.76
2025-01-25,164017.0,282626.0,19,2734,46914,1361,2.9,120.51
2025-01-26,246294.0,604277.0,58,19227,45818,903,1.97,272.75
2025-01-27,99918.0,622738.0,36,9680,24830,1736,6.99,57.56
2025-01-28,178559.0,1148488.0,36,19343,22429,1011,4.51,176.62
2025-01-29,198104.0,1028825.0,28,6759,11893,1712,14.4,115.71
2025-01-30,61613.0,1353377.0,45,3385,19373,204,1.05,302.02
2025-01-31,201886.0,813879.0,56,12111,8436,539,6.39,374.56
2025-02-01,92631.0,355473.0,53,5736,13754,1459,10.61,63.49
2025-02-02,66263.0,1127218.0,53,2802,15677,834,5.32,79.45
2025-02-03,287221.0,1189021.0,56,9155,10895,1177,10.8,244.03
2025-02-04,291408.0,929660.0,16,9120,24738,1466,5.93,198.78
2025-02-05,252099.0,1202257.0,43,7616,35746,1884,5.27,133.81
2025-02-06,126153.0,841934.0,6,15257,37352,295,0.79,427.64
2025-02-07,74418.0,879553.0,7,15486,44790,1249,2.79,59.58
2025-02-08,221058.0,755803.0,53,17646,46919,1112,2.37,198.79
2025-02-09,160038.0,233045.0,41,15075,10600,1550,14.62,103.25
2025-02-10,80510.0,340259.0,53,10208,34124,1755,5.14,45.87
2025-02-11,173794.0,240858.0,21,17371,32643,808,2.48,215.09
2025-02-12,58597.0,1027334.0,53,12835,45764,587,1.28,99.82
2025-02-13,277330.0,608663.0,6,14168,14007,1940,13.85,142.95
2025-02-14,114695.0,861142.0,6,3049,42410,1891,4.46,60.65
2025-02-15,215631.0,1379836.0,32,6423,49080,970,1.98,222.3
2025-02-16,127928.0,524080.0,58,15589,45447,457,1.01,279.93
2025-02-17,180017.0,733498.0,27,8158,13208,574,4.35,313.62
2025-02-18,186678.0,1182216.0,41,11248,23589,877,3.72,212.86
2025-02-19,96214.0,497438.0,36,8400,48484,1579,3.26,60.93
2025-02-20,292396.0,300074.0,37,10874,22453,952,4.24,307.14
2025-02-21,243783.0,576677.0,5,16151,41212,1898,4.61,128.44
2025-02-22,284875.0,409588.0,23,19639,48525,85,0.18,3351.47
2025-02-23,273707.0,1408607.0,6,2154,37635,734,1.95,372.9
2025-02-24,199475.0,1250556.0,57,5499,38828,69,0.18,2890.94
2025-02-25,280469.0,1023425.0,48,7295,23711,370,1.56,758.02
2025-02-26,72123.0,1332899.0,30,13183,8420,1849,21.96,39.01
2025-02-27,98996.0,1244774.0,36,13874,36216,561,1.55,176.46
2025-02-28,61307.0,442541.0,10,19032,5301,449,8.47,136.54
