seller_id,promo_id,purchase_date,promo_name,total_price,price_deduction,price_after_promo
162,0,19/06/2022,NULL,227997,NULL,0
186,0,17/06/2022,NULL,63000,NULL,0
186,0,17/06/2022,NULL,81000,NULL,0
186,0,17/06/2022,NULL,63000,NULL,0
226,2,18/06/2022,GRATIS_ONGKIR,84150,5000,79150
226,2,18/06/2022,GRATIS_ONGKIR,39000,5000,34000
226,2,18/06/2022,GRATIS_ONGKIR,157500,5000,152500
226,2,18/06/2022,GRATIS_ONGKIR,157500,5000,152500
232,2,04/06/2022,GRATIS_ONGKIR,197500,5000,192500
232,2,04/06/2022,GRATIS_ONGKIR,197500,5000,192500
119,0,10/06/2022,NULL,280000,NULL,0
8,2,04/06/2022,GRATIS_ONGKIR,195000,5000,190000
8,2,04/06/2022,GRATIS_ONGKIR,270000,5000,265000
8,2,04/06/2022,GRATIS_ONGKIR,170000,5000,165000
8,2,04/06/2022,GRATIS_ONGKIR,158000,5000,153000
8,2,04/06/2022,GRATIS_ONGKIR,207800,5000,202800
303,0,18/06/2022,NULL,538850,NULL,0
232,2,17/06/2022,GRATIS_ONGKIR,98750,5000,93750
232,2,17/06/2022,GRATIS_ONGKIR,98750,5000,93750
227,2,25/06/2022,GRATIS_ONGKIR,243540,5000,238540
227,2,25/06/2022,GRATIS_ONGKIR,218040,5000,213040
227,2,25/06/2022,GRATIS_ONGKIR,218040,5000,213040
227,2,25/06/2022,GRATIS_ONGKIR,393360,5000,388360
227,2,25/06/2022,GRATIS_ONGKIR,218040,5000,213040
63,0,28/06/2022,NULL,55200,NULL,0
254,0,29/06/2022,NULL,290000,NULL,0
8,0,24/06/2022,NULL,195000,NULL,0
8,0,24/06/2022,NULL,270000,NULL,0
8,0,24/06/2022,NULL,170000,NULL,0
8,0,24/06/2022,NULL,158000,NULL,0
8,0,24/06/2022,NULL,207800,NULL,0
10,0,23/06/2022,NULL,47888,NULL,0
10,0,23/06/2022,NULL,68888,NULL,0
10,0,23/06/2022,NULL,26888,NULL,0
10,0,23/06/2022,NULL,68888,NULL,0
64,2,26/06/2022,GRATIS_ONGKIR,96000,5000,91000
64,2,26/06/2022,GRATIS_ONGKIR,960000,5000,955000
64,2,26/06/2022,GRATIS_ONGKIR,980000,5000,975000
64,2,26/06/2022,GRATIS_ONGKIR,3398000,5000,3393000
64,2,26/06/2022,GRATIS_ONGKIR,214000,5000,209000
113,2,28/06/2022,GRATIS_ONGKIR,284000,5000,279000
113,2,28/06/2022,GRATIS_ONGKIR,310000,5000,305000
113,2,28/06/2022,GRATIS_ONGKIR,310000,5000,305000
113,2,28/06/2022,GRATIS_ONGKIR,716000,5000,711000
113,2,28/06/2022,GRATIS_ONGKIR,277000,5000,272000
113,2,28/06/2022,GRATIS_ONGKIR,265000,5000,260000
251,0,05/06/2022,NULL,70400,NULL,0
251,0,05/06/2022,NULL,85320,NULL,0
251,0,05/06/2022,NULL,314500,NULL,0
251,0,05/06/2022,NULL,73950,NULL,0
268,2,03/06/2022,GRATIS_ONGKIR,9748,5000,4748
84,0,26/06/2022,NULL,1575,NULL,0
24,0,27/06/2022,NULL,507000,NULL,0
237,0,09/06/2022,NULL,54000,NULL,0
224,0,05/06/2022,NULL,62000,NULL,0
224,0,05/06/2022,NULL,76000,NULL,0
224,0,05/06/2022,NULL,147420,NULL,0
224,0,05/06/2022,NULL,135290,NULL,0
224,0,05/06/2022,NULL,149650,NULL,0
224,0,05/06/2022,NULL,168750,NULL,0
224,0,05/06/2022,NULL,168750,NULL,0
224,0,05/06/2022,NULL,108750,NULL,0
56,2,14/06/2022,GRATIS_ONGKIR,480000,5000,475000
56,2,14/06/2022,GRATIS_ONGKIR,340000,5000,335000
56,2,14/06/2022,GRATIS_ONGKIR,231000,5000,226000
56,2,14/06/2022,GRATIS_ONGKIR,231000,5000,226000
72,0,01/06/2022,NULL,110000,NULL,0
72,0,01/06/2022,NULL,110000,NULL,0
306,2,01/06/2022,GRATIS_ONGKIR,71700,5000,66700
306,2,01/06/2022,GRATIS_ONGKIR,14800,5000,9800
123,0,17/06/2022,NULL,599997,NULL,0
123,0,17/06/2022,NULL,689997,NULL,0
123,0,17/06/2022,NULL,599997,NULL,0
123,0,17/06/2022,NULL,599997,NULL,0
123,0,17/06/2022,NULL,599997,NULL,0
299,2,13/06/2022,GRATIS_ONGKIR,43000,5000,38000
217,2,19/06/2022,GRATIS_ONGKIR,179800,5000,174800
232,2,13/06/2022,GRATIS_ONGKIR,197500,5000,192500
232,2,13/06/2022,GRATIS_ONGKIR,197500,5000,192500
152,2,07/06/2022,GRATIS_ONGKIR,280000,5000,275000
98,0,12/06/2022,NULL,1398000,NULL,0
209,2,03/06/2022,GRATIS_ONGKIR,93980,5000,88980
73,0,07/06/2022,NULL,2800,NULL,0
73,0,07/06/2022,NULL,15000,NULL,0
73,0,07/06/2022,NULL,2700,NULL,0
120,2,03/06/2022,GRATIS_ONGKIR,259800,5000,254800
